Profile name,Profile type,Standard,Series description,Shape family,Overall depth h (mm),Overall width b (mm),Wall thickness t (mm),Web thickness tw (mm),Flange thickness tf (mm),Root radius r (mm),Outer corner radius ro (mm),Inner corner radius ri (mm),Mass per metre (kg/m),Perimeter (m),Cross-section area A (mm2),Shear area Av (mm2),"Shear area about y-y Av,y (mm2)","Shear area about z-z Av,z (mm2)",Second moment of area about y-y Iy (mm4),Second moment of area about z-z Iz (mm4),Radius of gyration about y-y iy (mm),Radius of gyration about z-z iz (mm),"Elastic section modulus about y-y Wel,y (mm3)","Elastic section modulus about z-z Wel,z (mm3)","Plastic section modulus about y-y Wpl,y (mm3)","Plastic section modulus about z-z Wpl,z (mm3)",Torsion constant It (mm4),Torsion modulus Wt (mm3),Warping constant Iw (mm6),Warping modulus Ww (mm4),Buckling curve,Section class,Data source URL
profile,type,standard,series,shape,h_mm,b_mm,t_mm,tw_mm,tf_mm,r_mm,ro_mm,ri_mm,weight_kg_m,perimeter_m,area_mm2,av_mm2,av_y_mm2,av_z_mm2,I_y_mm4,I_z_mm4,i_y_mm,i_z_mm,W_el_y_mm3,W_el_z_mm3,W_pl_y_mm3,W_pl_z_mm3,I_t_mm4,W_t_mm3,I_w_mm6,W_w_mm4,buckling_curve,section_class,source_url
IPE80,IPE,EN 10365:2017,IPE parallel flange I sections,I,80,46,,3.8,5.2,5,,,6.00,0.328,764,,478,358,801400,84890,32.4,10.5,20030,3691,23220,5818,6727,1294,115100000,135200,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE100,IPE,EN 10365:2017,IPE parallel flange I sections,I,100,55,,4.1,5.7,7,,,8.10,0.400,1032,,627,508,1710000,159200,40.7,12.4,34200,5789,39410,9146,11530,2023,342100000,266800,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE120,IPE,EN 10365:2017,IPE parallel flange I sections,I,120,64,,4.4,6.3,7,,,10.4,0.475,1321,,806,631,3178000,276700,49.0,14.5,52960,8646,60730,13580,16890,2681,872000000,483400,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE140,IPE,EN 10365:2017,IPE parallel flange I sections,I,140,73,,4.7,6.9,7,,,12.9,0.551,1643,,1007,764,5412000,449200,57.4,16.5,77320,12310,88340,19250,24010,3480,1951000000,808200,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE160,IPE,EN 10365:2017,IPE parallel flange I sections,I,160,82,,5.0,7.4,9,,,15.8,0.623,2009,,1214,966,8693000,683100,65.8,18.4,108700,16660,123900,26100,35300,4770,3889000000,1252000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE180,IPE,EN 10365:2017,IPE parallel flange I sections,I,180,91,,5.3,8.0,9,,,18.8,0.698,2395,,1456,1125,13170000,1009000,74.2,20.5,146300,22160,166400,34600,47230,5904,7322000000,1882000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE200,IPE,EN 10365:2017,IPE parallel flange I sections,I,200,100,,5.6,8.5,12,,,22.4,0.768,2848,,1700,1400,19430000,1424000,82.6,22.4,194300,28470,220600,44610,68460,8054,12746000000,2683000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE220,IPE,EN 10365:2017,IPE parallel flange I sections,I,220,110,,5.9,9.2,12,,,26.2,0.848,3337,,2024,1588,27720000,2049000,91.1,24.8,252000,37250,285400,58110,89820,9763,22310000000,3874000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE240,IPE,EN 10365:2017,IPE parallel flange I sections,I,240,120,,6.2,9.8,15,,,30.7,0.922,3912,,2352,1914,38920000,2836000,99.7,26.9,324300,47270,366600,73920,127400,13000,36680000000,5354000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE270,IPE,EN 10365:2017,IPE parallel flange I sections,I,270,135,,6.6,10.2,15,,,36.1,1.041,4595,,2754,2214,57900000,4199000,112.3,30.2,428900,62200,484000,96950,157100,15400,69469000000,7974000,2,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE300,IPE,EN 10365:2017,IPE parallel flange I sections,I,300,150,,7.1,10.7,15,,,42.2,1.160,5381,,3210,2568,83560000,6038000,124.6,33.5,557100,80500,628400,125200,197500,18460,124260000000,11520000,2,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE330,IPE,EN 10365:2017,IPE parallel flange I sections,I,330,160,,7.5,11.5,18,,,49.1,1.254,6261,,3680,3081,117700000,7881000,137.1,35.5,713100,98520,804300,153700,275900,23990,196090000000,15490000,2,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE360,IPE,EN 10365:2017,IPE parallel flange I sections,I,360,170,,8.0,12.7,18,,,57.1,1.353,7273,,4318,3514,162700000,10430000,149.5,37.9,903600,122800,1019000,191100,370800,29200,309370000000,21070000,2,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE400,IPE,EN 10365:2017,IPE parallel flange I sections,I,400,180,,8.6,13.5,21,,,66.3,1.467,8446,,4860,4269,231300000,13180000,165.5,39.5,1156000,146400,1307000,229000,504100,37340,482890000000,27930000,3,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE450,IPE,EN 10365:2017,IPE parallel flange I sections,I,450,190,,9.4,14.6,21,,,77.6,1.605,9882,,5548,5085,337400000,16760000,184.8,41.2,1500000,176400,1702000,276400,660500,45240,780970000000,37970000,3,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE500,IPE,EN 10365:2017,IPE parallel flange I sections,I,500,200,,10.2,16.0,21,,,90.7,1.744,11552,,6400,5987,482000000,21420000,204.3,43.1,1928000,214200,2194000,335900,886200,55390,1235400000000,51280000,3,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE550,IPE,EN 10365:2017,IPE parallel flange I sections,I,550,210,,11.1,17.2,24,,,105.5,1.877,13442,,7224,7234,671200000,26680000,223.5,44.5,2441000,254100,2787000,400500,1217000,70760,1861500000000,66890000,4,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
IPE600,IPE,EN 10365:2017,IPE parallel flange I sections,I,600,220,,12.0,19.0,24,,,122.4,2.015,15598,,8360,8378,920800000,33870000,243.0,46.6,3069000,307900,3512000,485600,1646000,86630,2814700000000,88510000,4,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
HEA100,HEA,EN 10365:2017,HEA wide flange beams,I,96,100,,5.0,8.0,12,,,16.7,0.561,2124,,1600,756,3492000,1338000,40.6,25.1,72760,26760,83010,41140,51990,6499,2475000000,1143000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
HEA120,HEA,EN 10365:2017,HEA wide flange beams,I,114,120,,5.0,8.0,12,,,19.9,0.677,2534,,1920,846,6062000,2309000,48.9,30.2,106300,38480,119500,58850,59570,7446,6285000000,1998000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
HEA140,HEA,EN 10365:2017,HEA wide flange beams,I,133,140,,5.5,8.5,12,,,24.7,0.794,3142,,2380,1012,10330000,3893000,57.3,35.2,155400,55620,173500,84850,80320,9449,14729000000,3409000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
HEA160,HEA,EN 10365:2017,HEA wide flange beams,I,152,160,,6.0,9.0,15,,,30.4,0.906,3877,,2880,1321,16730000,6156000,65.7,39.8,220100,76950,245100,117600,118400,13160,30615000000,5404000,1,1,https://eurocodeapplied.com/design/en1993/ipe-hea-heb-hem-design-properties
